address;function;length;crc rate;command response;binary result
4;3;16;12869;1;0
4;3;46;12356;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14393;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17221;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;12355;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13379;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;12355;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;12355;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13382;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13378;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;12355;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;12355;0;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;17219;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;46;13616;0;0
4;3;16;12869;1;0
4;3;46;17221;0;0
4;3;16;12869;1;0
4;3;46;12594;0;0
4;3;16;12869;1;0
4;3;46;14406;0;0
4;3;16;12869;1;0
4;3;46;12355;0;0
4;3;16;12869;1;0
4;3;46;17220;0;0
4;3;16;12869;1;0
4;3;46;14406;0;0
4;3;16;12869;1;0
4;3;46;14393;0;0
4;3;16;12869;1;0
4;3;46;13382;0;0
4;3;16;12869;1;0
4;3;46;12355;0;0
4;3;16;12869;1;0
4;3;46;12354;0;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;3;16;12869;1;0
4;16;90;13617;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13617;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13617;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13617;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13617;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13878;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13878;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13878;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13878;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13877;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13877;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13877;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13877;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13878;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13878;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13878;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;13878;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;12850;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;12850;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;16;90;12850;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16953;0;0
4;16;90;12850;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;12336;0;0
4;16;90;12851;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;12851;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;16947;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17977;0;0
4;16;90;16947;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13623;0;0
4;16;90;16947;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17977;0;0
4;16;90;16947;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16961;0;0
4;16;90;16946;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;16946;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14146;0;0
4;16;90;16946;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13124;0;0
4;16;90;16946;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13125;0;0
4;16;90;16947;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17977;0;0
4;16;90;16947;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14146;0;0
4;16;90;16947;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13623;0;0
4;16;90;16947;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13125;0;0
4;16;90;16962;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17976;0;0
4;16;90;16962;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;16962;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;16962;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;12848;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16961;0;0
4;16;90;12848;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13124;0;0
4;16;90;12848;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13123;0;0
4;16;90;12848;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17976;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13124;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14147;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17976;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13124;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13124;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14145;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14145;0;0
4;16;90;12849;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14145;0;0
4;16;90;13879;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13124;0;0
4;16;90;13879;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;13879;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;13879;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14147;0;0
4;16;90;13879;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17977;0;0
4;16;90;13879;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;13879;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17459;0;0
4;16;90;13879;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;16709;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;16709;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14146;0;0
4;16;90;16709;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14145;0;0
4;16;90;16709;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14147;0;0
4;16;90;16709;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16961;0;0
4;16;90;16709;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;16709;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;17977;0;0
4;16;90;16709;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;16962;0;0
4;16;90;16708;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;14145;0;0
4;16;90;16708;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
4;3;46;13124;0;0
4;16;90;16708;1;0
4;16;16;17718;0;0
4;3;16;12869;1;0
